Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
177,6,2250,-353.6030,166.5730,5.2550,-305.3340,-836.5580,-9.4580,48.2690,-1003.1310,-14.7130
178,6,2666,-418.9190,184.4110,10.4260,-369.6640,-818.0850,-4.7570,49.2550,-1002.4960,-15.1830
180,7,0,0.0000,0.0000,0.0000,-366.5710,-823.1920,-4.6140,-366.5710,-823.1920,-4.6140
199,7,346,-59.6450,29.1040,0.1910,-425.1370,-794.1000,-4.2760,-365.4920,-823.2040,-4.4670
200,7,1172,-210.6310,106.9590,3.3020,-573.4200,-715.9950,-1.9310,-362.7890,-822.9540,-5.2330
201,7,1358,-176.6200,116.3130,0.7790,-539.6670,-706.8600,-4.3370,-363.0470,-823.1730,-5.1160
202,7,1556,-149.7600,150.7710,-0.2630,-513.0420,-672.9870,-5.2760,-363.2820,-823.7580,-5.0130
203,7,1716,-122.1510,154.6100,0.3340,-485.6330,-669.4090,-4.5220,-363.4820,-824.0190,-4.8560
204,7,1836,-112.9720,158.2470,1.2340,-476.5220,-665.5900,-3.6720,-363.5500,-823.8370,-4.9060
210,7,2050,-129.5000,181.5590,1.7280,-492.7800,-642.6590,-3.4100,-363.2800,-824.2180,-5.1380
237,7,2216,-98.5380,189.3180,3.8020,-462.3040,-635.1290,-1.1400,-363.7660,-824.4470,-4.9420
238,7,2280,-81.9580,186.8210,5.6420,-445.6080,-637.8560,0.9280,-363.6500,-824.6770,-4.7140
239,7,2378,-79.0070,192.6700,5.7400,-442.6900,-632.2400,0.9240,-363.6830,-824.9100,-4.8160
248,8,0,0.0000,0.0000,0.0000,-442.2760,-632.0510,0.7560,-442.2760,-632.0510,0.7560
278,8,64,1.9240,-2.2570,0.3190,-440.0510,-634.3140,1.2040,-441.9740,-632.0570,0.8850
280,8,256,-33.0780,-5.9330,-2.9360,-475.1140,-637.3300,-2.1200,-442.0360,-631.3970,0.8160
281,8,410,-55.7230,-32.0980,-5.3860,-498.1850,-663.0090,-4.5240,-442.4620,-630.9110,0.8620
283,8,458,-53.3850,-30.6380,-5.2850,-495.0180,-661.8400,-4.3890,-441.6330,-631.2020,0.8960
285,8,734,-88.9200,-72.0560,-5.7260,-530.6070,-702.7910,-4.9880,-441.6870,-630.7350,0.7380
